0,1,2,3
4.527047021943574,0.0,0.0,0.0
19.536363636363635,0.0,0.0,1.5
102.10909090909091,102.10909090909092,0.75,0.75
224.37272727272727,224.37272727272722,6.73,6.7299999999999995
279.1909090909091,279.19090909090903,24.185714285714287,24.185714285714287
486.58000000000004,486.58000000000004,85.22307692307692,85.22307692307693
728.5,728.5,169.23124999999996,169.23125
811.96,811.9600000000002,346.9941176470587,346.99411764705883
844.911111111111,844.911111111111,668.2437500000001,668.24375
873.5857142857143,873.5857142857142,1080.0066666666667,1080.0066666666667
407.2,407.19999999999993,1847.5166666666669,1847.5166666666667
258.15000000000003,258.15,2940.0818181818186,2940.081818181818
159.18,159.18,3571.7818181818184,3571.781818181818
76.34,76.34,6198.855555555556,6198.855555555555
83.06,83.06,8090.233333333334,8090.233333333334
913.0,913.0,9190.888888888889,9190.888888888889
1114.56,1114.56,12924.3375,12924.3375
1017.5,1017.5,16506.885714285716,16506.885714285712
