0,1,2,3,4,5,6,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.30445663624130015,-16.928994743872654,-0.15072110705014827,-0.4059421816550669,-16.928994743872654,-0.022608166057522243,-0.015072110705014827,-0.0029816800201694286
-0.05074277270688337,-2.8923380442923574,-0.005859442575852595,-0.007539787920785046,-2.8923380442923574,-0.07886809707097593,-0.004687554060682076,-0.00022615392398027515
-0.04349380517732859,-1.7415101053467217,-0.0022682558110731946,-0.001798326262500296,-1.7415101053467217,-0.1920078544073459,-0.00396944766937809,-0.0001557851769563396
-0.05074277270688336,-3.5731430309284136,-0.0029373529786907914,-0.0005954111789777812,-3.5731430309284136,-0.8135733412728821,-0.005140367712708886,-0.00010428454253541731
-0.04349380517732859,-4.736208829848075,-0.0019503948510012662,-0.00025700811863842285,-4.736208829848075,-1.7603613793520427,-0.005851184553003799,-5.9703232913285644e-05
-0.04349380517732859,-6.551990733169568,-0.0024208054829682126,-0.00012534450287588977,-6.551990733169568,-4.760029821160397,-0.008069351609894044,-5.356643822026774e-05
-0.05074277270688337,-3.9293094930517998,-0.001550186538906841,-7.593452644620077e-05,-3.9293094930517998,-5.524813151779352,-0.005167288463022804,-6.0056936214453885e-05
-0.06089132724826003,-2.4513268943768285,-0.0008017291276927045,-5.638051053536092e-05,-2.4513268943768285,-6.494046020767291,-0.004008645638463522,-6.97027506889209e-05
-0.07611415906032504,-0.7674870549574359,-0.0006282637974438735,-4.1198090622723316e-05,-0.7674870549574359,-6.964367021045082,-0.002513055189775494,-0.00018692082283969805
-0.07611415906032504,-0.3708500187748966,-0.00047885598653870043,-2.588844929063741e-05,-0.3708500187748966,-7.743316787524729,-0.0016759959528854515,-0.00029484469905219845
-0.07611415906032504,-0.16381627689592274,-0.0002058252002712938,-2.1309856798327686e-05,-0.16381627689592274,-8.086789788579024,-0.0014407764018990565,-0.00047816408506297934
-0.07611415906032505,-0.06215826810724331,-0.00016284586876406422,-1.2278743774261654e-05,-0.06215826810724331,-9.085122164586513,-0.000814229343820321,-0.0009970416434415125
-0.07611415906032505,-0.05230880400091611,-0.00012595425957360006,-9.408153748386949e-06,-0.05230880400091611,-9.170994143498925,-0.0006297712978680003,-0.0009163756207599933
-0.07611415906032504,-0.33377630750277026,-7.31163871857109e-05,-8.281479624059157e-06,-0.33377630750277026,-6.048041315227634,-0.0003655819359285545,-8.33670964516156e-05
-0.07611415906032504,-0.34229259652306354,-6.142201344441996e-05,-5.889211656715483e-06,-0.34229259652306354,-6.350710653481768,-0.00024568805377767983,-6.829076860853166e-05
-0.07611415906032504,-0.2443674586854332,-0.0,-4.611055069852021e-06,-0.2443674586854332,-6.937646189109624,-0.00018012343392046672,-7.480507032955778e-05
