,year,capacity,diameter,region,user,revenues,q,p,Md,M,Q0,s_j,s_jd,s_0,cpi98,p98,p98in000,p_us_oem,p_us_pcm,p_nonus_oem,p_nonus_pcm,priceIV1,priceIV2,priceIV3,capaMB,lncapaMB,lnsjs0,lnsjd,_3inch,_NonUS,_PCM,diameter_capacity,FirstYearOfDiameterCapacity,NofYearsInMktOfDiameterCapacity,year_diameter,FrontierCapacityOfDiameter,NofFirmsInDiameterCapacity,NofProductsInDiameter,NofFirmsInDiameter,FirstYearOfDiameter,NofYearsInMktOfDiameter
468,1997,12.0,3.5,US,OEM,176.0,160.0,1.1,48506.0,52252.60000038147,167.60000038146973,0.0030620487,0.003298561,0.003207496,0.9846626,1.117134,0.001117134,1.117134,1.19838,1.2186916,,1.2186916,1.19838,,15000.0,9.615806,-0.04640634,-5.714269,1.0,0.0,0.0,3.5_12,1997,1.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
469,1997,8.0,3.5,US,PCM,1547.0999755859375,11369.0,0.13608056,31866.0,33743.59999847412,1024.599998474121,0.33692315,0.35677525,0.030364277,0.9846626,0.1382002,0.0001382002,0.14326634,0.1382002,0.13586718,0.13808528,0.13586718,0.13808528,0.14326634,1500.0,7.3132205,2.406588,-1.0306492,1.0,0.0,1.0,3.5_8,1991,7.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
470,1997,8.0,3.5,Non-US,OEM,782.9000244140625,5852.0,0.13378333,17310.000259399414,17313.800259411335,0.0,0.33799627,0.33807048,0.0,0.9846626,0.13586718,0.00013586717,0.14326634,0.1382002,0.13586718,0.13808528,0.1382002,0.14326634,0.13808528,1500.0,7.3132205,,-1.0845009,1.0,1.0,0.0,3.5_8,1991,7.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
471,1997,9.0,3.5,Non-US,OEM,1015.2000122070312,6762.7001953125,0.15011756,17310.000259399414,17313.800259411335,0.0,0.39059594,0.39068168,0.0,0.9846626,0.15245584,0.00015245583,0.18890229,0.17485389,0.15245584,0.14788277,0.17485389,0.18890229,0.14788277,2500.0,7.824046,,-0.93986213,1.0,1.0,0.0,3.5_9,1993,5.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
472,1997,12.0,3.5,US,PCM,29.5,25.0,1.18,31866.0,33743.59999847412,1024.599998474121,0.00074088125,0.00078453525,0.030364277,0.9846626,1.19838,0.00119838,1.117134,1.19838,1.2186916,,1.2186916,1.117134,,15000.0,9.615806,-3.7131817,-7.150419,1.0,0.0,1.0,3.5_12,1997,1.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
473,1997,9.0,3.5,US,OEM,3491.5,18771.0,0.18600501,48506.0,52252.60000038147,167.60000038146973,0.3592357,0.38698307,0.003207496,0.9846626,0.18890229,0.00018890228,0.18890229,0.17485389,0.15245584,0.14788277,0.14788277,0.15245584,0.17485389,2500.0,7.824046,4.718488,-0.9493743,1.0,0.0,0.0,3.5_9,1993,5.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
474,1997,10.0,3.5,US,PCM,1579.699951171875,6267.0,0.25206637,31866.0,33743.59999847412,1024.599998474121,0.18572411,0.1966673,0.030364277,0.9846626,0.25599265,0.00025599267,0.30490094,0.25599265,0.19873448,0.19101338,0.19873448,0.19101338,0.30490094,4000.0,8.294049,1.8109955,-1.6262418,1.0,0.0,1.0,3.5_10,1994,4.0,1997_3.5,12,10.0,41.0,12.0,1983.0,15.0
475,1997,12.0,3.5,Non-US,OEM,9.0,7.5,1.2,17310.000259399414,17313.800259411335,0.0,0.00043318045,0.00043327556,0.0,0.9846626,1.2186916,0.0012186916,1.117134,1.19838,1.2186916,,1.19838,1.117134,,15000.0,9.615806,,-7.744137,1.0,1.0,0.0,3.5_12,1997,1.0,1997_3.5,12,6.0,41.0,12.0,1983.0,15.0
476,1997,7.0,3.5,US,OEM,17.700000762939453,160.0,0.110625006,48506.0,52252.60000038147,167.60000038146973,0.0030620487,0.003298561,0.003207496,0.9846626,0.11234813,0.000112348134,0.11234813,0.11192065,0.11916702,,0.11916702,0.11192065,,750.0,6.6200733,-0.04640634,-5.714269,1.0,0.0,0.0,3.5_7,1990,8.0,1997_3.5,12,1.0,41.0,12.0,1983.0,15.0
477,1997,11.0,3.5,US,PCM,544.2000122070312,1119.0,0.48632708,31866.0,33743.59999847412,1024.599998474121,0.033161845,0.035115797,0.030364277,0.9846626,0.49390227,0.00049390225,0.6604952,0.49390227,0.45680186,0.45693773,0.45680186,0.45693773,0.6604952,7500.0,8.922658,0.08813316,-3.3491042,1.0,0.0,1.0,3.5_11,1995,3.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
478,1997,10.0,3.5,Non-US,PCM,175.1999969482422,931.5,0.18808374,6896.700012207031,6896.700012207031,47.0,0.1350646,0.1350646,0.0068148533,0.9846626,0.19101338,0.00019101339,0.30490094,0.25599265,0.19873448,0.19101338,0.30490094,0.25599265,0.19873448,4000.0,8.294049,2.9866486,-2.002002,1.0,1.0,1.0,3.5_10,1994,4.0,1997_3.5,12,10.0,41.0,12.0,1983.0,15.0
479,1997,11.0,3.5,US,OEM,2227.5,3425.0,0.65036494,48506.0,52252.60000038147,167.60000038146973,0.065546975,0.07060982,0.003207496,0.9846626,0.6604952,0.00066049525,0.6604952,0.49390227,0.45680186,0.45693773,0.45693773,0.45680186,0.49390227,7500.0,8.922658,3.0172765,-2.6505861,1.0,0.0,0.0,3.5_11,1995,3.0,1997_3.5,12,9.0,41.0,12.0,1983.0,15.0
480,1997,10.0,3.5,US,OEM,4011.0,13360.0,0.30022454,48506.0,52252.60000038147,167.60000038146973,0.25568107,0.27542984,0.003207496,0.9846626,0.30490094,0.00030490095,0.30490094,0.25599265,0.19873448,0.19101338,0.19101338,0.19873448,0.25599265,4000.0,8.294049,4.3784404,-1.2894223,1.0,0.0,0.0,3.5_10,1994,4.0,1997_3.5,12,10.0,41.0,12.0,1983.0,15.0
481,1997,9.0,5.25,US,PCM,127.69999694824219,880.0,0.14511363,1877.599998474121,33743.59999847412,1024.599998474121,0.02607902,0.46868342,0.030364277,0.9846626,0.14737396,0.00014737395,0.14725858,0.14737396,,,0.14725858,,,2500.0,7.824046,-0.15213567,-0.75782776,0.0,0.0,1.0,5.25_9,1991,7.0,1997_5.25,13,2.0,12.0,4.0,1979.0,19.0
482,1997,10.0,5.25,US,OEM,210.6999969482422,1190.0,0.17705882,3746.6000003814697,52252.60000038147,167.60000038146973,0.022773987,0.31762132,0.003207496,0.9846626,0.17981674,0.00017981674,0.17981674,0.17830856,,,0.17830856,,,4000.0,8.294049,1.9601284,-1.1468954,0.0,0.0,0.0,5.25_10,1993,5.0,1997_5.25,13,2.0,12.0,4.0,1979.0,19.0
483,1997,11.0,5.25,US,PCM,70.5999984741211,224.0,0.31517857,1877.599998474121,33743.59999847412,1024.599998474121,0.006638296,0.11930124,0.030364277,0.9846626,0.32008788,0.0003200879,0.3324676,0.32008788,,,0.3324676,,,7500.0,8.922658,-1.5204115,-2.1261036,0.0,0.0,1.0,5.25_11,1995,3.0,1997_5.25,13,3.0,12.0,4.0,1979.0,19.0
484,1997,13.0,5.25,US,PCM,36.70000076293945,25.0,1.468,1877.599998474121,33743.59999847412,1024.599998474121,0.00074088125,0.01331487,0.030364277,0.9846626,1.4908661,0.0014908661,1.4944596,1.4908661,,,1.4944596,,,30000.0,10.308952,-3.7131817,-4.318874,0.0,0.0,1.0,5.25_13,1996,2.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
485,1997,9.0,5.25,US,OEM,258.1000061035156,1780.0,0.14500001,3746.6000003814697,52252.60000038147,167.60000038146973,0.03406529,0.47509742,0.003207496,0.9846626,0.14725858,0.00014725859,0.14725858,0.14737396,,,0.14737396,,,2500.0,7.824046,2.3627884,-0.7442354,0.0,0.0,0.0,5.25_9,1991,7.0,1997_5.25,13,2.0,12.0,4.0,1979.0,19.0
486,1997,11.0,5.25,US,OEM,155.5,475.0,0.3273684,3746.6000003814697,52252.60000038147,167.60000038146973,0.009090457,0.12678161,0.003207496,0.9846626,0.3324676,0.00033246758,0.3324676,0.32008788,,,0.32008788,,,7500.0,8.922658,1.0417347,-2.0652893,0.0,0.0,0.0,5.25_11,1995,3.0,1997_5.25,13,3.0,12.0,4.0,1979.0,19.0
487,1997,13.0,5.25,US,OEM,191.3000030517578,130.0,1.4715385,3746.6000003814697,52252.60000038147,167.60000038146973,0.0024879144,0.034698125,0.003207496,0.9846626,1.4944596,0.0014944596,1.4944596,1.4908661,,,1.4908661,,,30000.0,10.308952,-0.25404575,-3.3610697,0.0,0.0,0.0,5.25_13,1996,2.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
488,1997,8.0,5.25,US,OEM,19.399999618530273,155.0,0.12516129,3746.6000003814697,52252.60000038147,167.60000038146973,0.0029663595,0.041370843,0.003207496,0.9846626,0.12711084,0.00012711083,0.12711084,0.12694705,1.8860703,,1.8860703,0.12694705,,1500.0,7.3132205,-0.0781551,-3.185179,0.0,0.0,0.0,5.25_8,1989,9.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
489,1997,8.0,5.25,US,PCM,12.5,100.0,0.125,1877.599998474121,33743.59999847412,1024.599998474121,0.002963525,0.05325948,0.030364277,0.9846626,0.12694705,0.00012694705,0.12711084,0.12694705,1.8860703,,1.8860703,0.12711084,,1500.0,7.3132205,-2.3268874,-2.9325795,0.0,0.0,1.0,5.25_8,1989,9.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
490,1997,8.0,5.25,Non-US,OEM,6.5,3.5,1.8571428,3.800000011920929,17313.800259411335,0.0,0.00020215088,0.92105263,0.0,0.9846626,1.8860703,0.0018860702,0.12711084,0.12694705,1.8860703,,0.12694705,0.12711084,,1500.0,7.3132205,,-0.08223809,0.0,1.0,0.0,5.25_8,1989,9.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
491,1997,10.0,5.25,US,PCM,107.0999984741211,610.0,0.17557377,1877.599998474121,33743.59999847412,1024.599998474121,0.018077502,0.32488284,0.030364277,0.9846626,0.17830856,0.00017830856,0.17981674,0.17830856,,,0.17981674,,,4000.0,8.294049,-0.5185986,-1.1242907,0.0,0.0,1.0,5.25_10,1993,5.0,1997_5.25,13,2.0,12.0,4.0,1979.0,19.0
492,1997,7.0,5.25,Non-US,OEM,0.5,0.30000001192092896,1.6666666,3.800000011920929,17313.800259411335,0.0,1.7327218e-05,0.07894737,0.0,0.9846626,1.6926272,0.0016926272,,,1.6926272,,,,,750.0,6.6200733,,-2.5389738,0.0,1.0,0.0,5.25_7,1987,11.0,1997_5.25,13,1.0,12.0,4.0,1979.0,19.0
493,1998,8.0,3.5,Non-US,PCM,20.799999237060547,201.5,0.103225805,9097.599899291992,9097.599899291992,25.0,0.022148699,0.022148699,0.0027479776,1.0,0.103225805,0.00010322581,0.10480081,0.10329949,0.10945274,0.103225805,0.10480081,0.10329949,0.10945274,1500.0,7.3132205,2.0869136,-3.8099766,1.0,1.0,1.0,3.5_8,1991,8.0,1998_3.5,13,2.0,40.0,10.0,1983.0,16.0
494,1998,10.0,3.5,US,OEM,4358.89990234375,28331.599609375,0.15385294,57402.09912109375,59786.59912109375,113.5,0.47387877,0.49356383,0.0018984188,1.0,0.15385294,0.00015385295,0.15385294,0.1394924,0.13923776,0.13390274,0.13390274,0.13923776,0.1394924,4000.0,8.294049,5.5199304,-0.7061031,1.0,0.0,0.0,3.5_10,1994,5.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
495,1998,11.0,3.5,Non-US,PCM,252.8000030517578,1404.5,0.17999288,9097.599899291992,9097.599899291992,25.0,0.15438138,0.15438138,0.0027479776,1.0,0.17999288,0.00017999289,0.21714304,0.21090591,0.18585147,0.17999288,0.21714304,0.21090591,0.18585147,7500.0,8.922658,4.0285606,-1.8683293,1.0,1.0,1.0,3.5_11,1995,4.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
496,1998,10.0,3.5,US,PCM,2390.89990234375,17140.0,0.1394924,37465.7998046875,39154.39980459213,1129.19997549057,0.43775412,0.4574839,0.02883967,1.0,0.1394924,0.0001394924,0.15385294,0.1394924,0.13923776,0.13390274,0.13923776,0.13390274,0.15385294,4000.0,8.294049,2.7199056,-0.7820136,1.0,0.0,1.0,3.5_10,1994,5.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
497,1998,8.0,3.5,US,OEM,51.29999923706055,489.5,0.10480081,57402.09912109375,59786.59912109375,113.5,0.008187453,0.008527563,0.0018984188,1.0,0.10480081,0.00010480081,0.10480081,0.10329949,0.10945274,0.103225805,0.103225805,0.10945274,0.10329949,1500.0,7.3132205,1.4615816,-4.7644515,1.0,0.0,0.0,3.5_8,1991,8.0,1998_3.5,13,2.0,40.0,10.0,1983.0,16.0
498,1998,8.0,3.5,Non-US,OEM,8.800000190734863,80.4000015258789,0.10945274,12847.300331115723,12847.300331115723,0.0,0.006258124,0.006258124,0.0,1.0,0.10945274,0.00010945274,0.10480081,0.10329949,0.10945274,0.103225805,0.10329949,0.10480081,0.103225805,1500.0,7.3132205,,-5.073875,1.0,1.0,0.0,3.5_8,1991,8.0,1998_3.5,13,2.0,40.0,10.0,1983.0,16.0
499,1998,10.0,3.5,Non-US,PCM,787.0,5877.39990234375,0.13390274,9097.599899291992,9097.599899291992,25.0,0.64603853,0.64603853,0.0027479776,1.0,0.13390274,0.00013390274,0.15385294,0.1394924,0.13923776,0.13390274,0.15385294,0.1394924,0.13923776,4000.0,8.294049,5.459994,-0.43689612,1.0,1.0,1.0,3.5_10,1994,5.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
500,1998,11.0,3.5,Non-US,OEM,458.70001220703125,2468.10009765625,0.18585147,12847.300331115723,12847.300331115723,0.0,0.1921104,0.1921104,0.0,1.0,0.18585147,0.00018585147,0.21714304,0.21090591,0.18585147,0.17999288,0.21090591,0.21714304,0.17999288,7500.0,8.922658,,-1.649685,1.0,1.0,0.0,3.5_11,1995,4.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
501,1998,11.0,3.5,US,PCM,2023.5999755859375,9594.7998046875,0.21090591,37465.7998046875,39154.39980459213,1129.19997549057,0.24505036,0.2560949,0.02883967,1.0,0.21090591,0.00021090591,0.21714304,0.21090591,0.18585147,0.17999288,0.18585147,0.17999288,0.21714304,7500.0,8.922658,2.1397119,-1.3622072,1.0,0.0,1.0,3.5_11,1995,4.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
502,1998,11.0,3.5,US,OEM,3399.699951171875,15656.5,0.21714304,57402.09912109375,59786.59912109375,113.5,0.26187307,0.27275136,0.0018984188,1.0,0.21714304,0.00021714304,0.21714304,0.21090591,0.18585147,0.17999288,0.17999288,0.18585147,0.21090591,7500.0,8.922658,4.9268384,-1.2991947,1.0,0.0,0.0,3.5_11,1995,4.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
503,1998,9.0,3.5,Non-US,OEM,380.29998779296875,3497.300048828125,0.10874102,12847.300331115723,12847.300331115723,0.0,0.2722206,0.2722206,0.0,1.0,0.10874102,0.00010874102,0.121237904,0.11477089,0.10874102,0.10294604,0.11477089,0.121237904,0.10294604,2500.0,7.824046,,-1.3011425,1.0,1.0,0.0,3.5_9,1993,6.0,1998_3.5,13,3.0,40.0,10.0,1983.0,16.0
504,1998,8.0,3.5,US,PCM,40.70000076293945,394.0,0.10329949,37465.7998046875,39154.39980459213,1129.19997549057,0.010062726,0.010516258,0.02883967,1.0,0.10329949,0.00010329949,0.10480081,0.10329949,0.10945274,0.103225805,0.10945274,0.103225805,0.10480081,1500.0,7.3132205,-1.0529138,-4.554833,1.0,0.0,1.0,3.5_8,1991,8.0,1998_3.5,13,2.0,40.0,10.0,1983.0,16.0
505,1998,12.0,3.5,Non-US,OEM,209.5,336.29998779296875,0.62295574,12847.300331115723,12847.300331115723,0.0,0.026176704,0.026176704,0.0,1.0,0.62295574,0.00062295573,0.3994938,0.36113006,0.62295574,0.38881832,0.36113006,0.3994938,0.38881832,15000.0,9.615806,,-3.6428854,1.0,1.0,0.0,3.5_12,1997,2.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
506,1998,13.0,3.5,US,OEM,3.5999999046325684,10.0,0.35999998,57402.09912109375,59786.59912109375,113.5,0.00016726156,0.00017420965,0.0018984188,1.0,0.35999998,0.00035999998,0.35999998,1.3199999,,,1.3199999,,,30000.0,10.308952,-2.4292178,-8.6552515,1.0,0.0,0.0,3.5_13,1998,1.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
507,1998,12.0,3.5,Non-US,PCM,30.600000381469727,78.69999694824219,0.38881832,9097.599899291992,9097.599899291992,25.0,0.008650633,0.008650633,0.0027479776,1.0,0.38881832,0.00038881833,0.3994938,0.36113006,0.62295574,0.38881832,0.3994938,0.36113006,0.62295574,15000.0,9.615806,1.1467673,-4.750123,1.0,1.0,1.0,3.5_12,1997,2.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
508,1998,10.0,3.5,Non-US,OEM,900.2000122070312,6465.2001953125,0.13923776,12847.300331115723,12847.300331115723,0.0,0.50323415,0.50323415,0.0,1.0,0.13923776,0.00013923776,0.15385294,0.1394924,0.13923776,0.13390274,0.1394924,0.15385294,0.13390274,4000.0,8.294049,,-0.6866997,1.0,1.0,0.0,3.5_10,1994,5.0,1998_3.5,13,9.0,40.0,10.0,1983.0,16.0
509,1998,9.0,3.5,US,PCM,885.4000244140625,7714.5,0.11477089,37465.7998046875,39154.39980459213,1129.19997549057,0.19702767,0.20590779,0.02883967,1.0,0.11477089,0.00011477089,0.121237904,0.11477089,0.10874102,0.10294604,0.10874102,0.10294604,0.121237904,2500.0,7.824046,1.9215922,-1.5803268,1.0,0.0,1.0,3.5_9,1993,6.0,1998_3.5,13,3.0,40.0,10.0,1983.0,16.0
510,1998,9.0,3.5,US,OEM,1154.5,9522.599609375,0.121237904,57402.09912109375,59786.59912109375,113.5,0.15927649,0.16589288,0.0018984188,1.0,0.121237904,0.00012123791,0.121237904,0.11477089,0.10874102,0.10294604,0.10294604,0.10874102,0.11477089,2500.0,7.824046,4.4296203,-1.796413,1.0,0.0,0.0,3.5_9,1993,6.0,1998_3.5,13,3.0,40.0,10.0,1983.0,16.0
511,1998,12.0,3.5,US,OEM,1310.0999755859375,3279.39990234375,0.3994938,57402.09912109375,59786.59912109375,113.5,0.054851755,0.057130314,0.0018984188,1.0,0.3994938,0.00039949382,0.3994938,0.36113006,0.62295574,0.38881832,0.38881832,0.62295574,0.36113006,15000.0,9.615806,3.363613,-2.8624203,1.0,0.0,0.0,3.5_12,1997,2.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
512,1998,9.0,3.5,Non-US,PCM,155.5,1510.5,0.10294604,9097.599899291992,9097.599899291992,25.0,0.1660328,0.1660328,0.0027479776,1.0,0.10294604,0.00010294604,0.121237904,0.11477089,0.10874102,0.10294604,0.121237904,0.11477089,0.10874102,2500.0,7.824046,4.1013203,-1.7955699,1.0,1.0,1.0,3.5_9,1993,6.0,1998_3.5,13,3.0,40.0,10.0,1983.0,16.0
513,1998,12.0,3.5,US,PCM,529.2000122070312,1465.4000244140625,0.36113006,37465.7998046875,39154.39980459213,1129.19997549057,0.037426192,0.039113004,0.02883967,1.0,0.36113006,0.00036113005,0.3994938,0.36113006,0.62295574,0.38881832,0.62295574,0.38881832,0.3994938,15000.0,9.615806,0.26061893,-3.2413003,1.0,0.0,1.0,3.5_12,1997,2.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
514,1998,13.0,3.5,US,PCM,39.599998474121094,30.0,1.3199999,37465.7998046875,39154.39980459213,1129.19997549057,0.0007661974,0.00080073025,0.02883967,1.0,1.3199999,0.0013199999,0.35999998,1.3199999,,,0.35999998,,,30000.0,10.308952,-3.6280673,-7.1299863,1.0,0.0,1.0,3.5_13,1998,1.0,1998_3.5,13,8.0,40.0,10.0,1983.0,16.0
515,1998,14.0,5.25,US,OEM,147.1999969482422,101.5,1.4502463,2384.5,59786.59912109375,113.5,0.0016977049,0.042566575,0.0018984188,1.0,1.4502463,0.0014502463,1.4502463,1.4875,,,1.4875,,,60000.0,11.0021,-0.11174403,-3.156686,0.0,0.0,0.0,5.25_14,1998,1.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
516,1998,10.0,5.25,US,OEM,97.69999694824219,865.0,0.11294797,2384.5,59786.59912109375,113.5,0.014468125,0.3627595,0.0018984188,1.0,0.11294797,0.00011294797,0.11294797,0.11659056,,,0.11659056,,,4000.0,8.294049,2.0309267,-1.0140152,0.0,0.0,0.0,5.25_10,1993,6.0,1998_5.25,14,1.0,4.0,2.0,1979.0,20.0
517,1998,9.0,5.25,US,OEM,6.699999809265137,65.0,0.10307692,2384.5,59786.59912109375,113.5,0.0010872001,0.027259383,0.0018984188,1.0,0.10307692,0.00010307692,0.10307692,0.10425532,,,0.10425532,,,2500.0,7.824046,-0.5574156,-3.6023574,0.0,0.0,0.0,5.25_9,1991,8.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
518,1998,13.0,5.25,US,OEM,13.199999809265137,10.0,1.3199999,2384.5,59786.59912109375,113.5,0.00016726156,0.004193751,0.0018984188,1.0,1.3199999,0.0013199999,1.3199999,1.3199999,,,1.3199999,,,30000.0,10.308952,-2.4292178,-5.4741597,0.0,0.0,0.0,5.25_13,1996,3.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
519,1998,12.0,5.25,US,PCM,31.5,150.0,0.21,1688.5999999046326,39154.39980459213,1129.19997549057,0.003830987,0.088830985,0.02883967,1.0,0.21,0.00021,0.1952381,0.21,,,0.1952381,,,15000.0,9.615806,-2.0186293,-2.4210198,0.0,0.0,1.0,5.25_12,1996,3.0,1998_5.25,14,1.0,4.0,2.0,1979.0,20.0
520,1998,11.0,5.25,US,OEM,173.5,1132.0,0.15326855,2384.5,59786.59912109375,113.5,0.01893401,0.47473264,0.0018984188,1.0,0.15326855,0.00015326854,0.15326855,0.15717761,,,0.15717761,,,7500.0,8.922658,2.2999384,-0.7450035,0.0,0.0,0.0,5.25_11,1995,4.0,1998_5.25,14,2.0,4.0,2.0,1979.0,20.0
521,1998,13.0,5.25,US,PCM,3.299999952316284,2.5,1.3199999,1688.5999999046326,39154.39980459213,1129.19997549057,6.384979e-05,0.0014805164,0.02883967,1.0,1.3199999,0.0013199999,1.3199999,1.3199999,,,1.3199999,,,30000.0,10.308952,-6.1129737,-6.515364,0.0,0.0,1.0,5.25_13,1996,3.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
522,1998,14.0,5.25,US,PCM,11.899999618530273,8.0,1.4875,1688.5999999046326,39154.39980459213,1129.19997549057,0.00020431931,0.0047376524,0.02883967,1.0,1.4875,0.0014874999,1.4502463,1.4875,,,1.4502463,,,60000.0,11.0021,-4.9498234,-5.3522134,0.0,0.0,1.0,5.25_14,1998,1.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
523,1998,10.0,5.25,US,PCM,76.5999984741211,657.0,0.11659056,1688.5999999046326,39154.39980459213,1129.19997549057,0.016779723,0.38907972,0.02883967,1.0,0.11659056,0.000116590556,0.11294797,0.11659056,,,0.11294797,,,4000.0,8.294049,-0.5415807,-0.94397104,0.0,0.0,1.0,5.25_10,1993,6.0,1998_5.25,14,1.0,4.0,2.0,1979.0,20.0
524,1998,11.0,5.25,US,PCM,129.1999969482422,822.0,0.15717761,1688.5999999046326,39154.39980459213,1129.19997549057,0.02099381,0.4867938,0.02883967,1.0,0.15717761,0.00015717761,0.15326855,0.15717761,,,0.15326855,,,7500.0,8.922658,-0.31752422,-0.7199147,0.0,0.0,1.0,5.25_11,1995,4.0,1998_5.25,14,2.0,4.0,2.0,1979.0,20.0
525,1998,9.0,5.25,US,PCM,4.900000095367432,47.0,0.10425532,1688.5999999046326,39154.39980459213,1129.19997549057,0.001200376,0.027833708,0.02883967,1.0,0.10425532,0.00010425532,0.10307692,0.10425532,,,0.10307692,,,2500.0,7.824046,-3.179117,-3.5815074,0.0,0.0,1.0,5.25_9,1991,8.0,1998_5.25,14,0.0,4.0,2.0,1979.0,20.0
526,1998,12.0,5.25,US,OEM,41.0,210.0,0.1952381,2384.5,59786.59912109375,113.5,0.0035124929,0.088068776,0.0018984188,1.0,0.1952381,0.0001952381,0.1952381,0.21,,,0.21,,,15000.0,9.615806,0.6153047,-2.4296372,0.0,0.0,0.0,5.25_12,1996,3.0,1998_5.25,14,1.0,4.0,2.0,1979.0,20.0
