,year,capacity,diameter,region,user,revenues,q,p,Md,M,Q0,s_j,s_jd,s_0,cpi98,p98,p98in000,p_us_oem,p_us_pcm,p_nonus_oem,p_nonus_pcm,priceIV1,priceIV2,priceIV3,capaMB,lncapaMB,lnsjs0,lnsjd,_3inch,_NonUS,_PCM,diameter_capacity,FirstYearOfDiameterCapacity,NofYearsInMktOfDiameterCapacity,year_diameter,FrontierCapacityOfDiameter,NofFirmsInDiameterCapacity,NofProductsInDiameter,NofFirmsInDiameter,FirstYearOfDiameter,NofYearsInMktOfDiameter
433,1996,8.0,3.5,US,OEM,3323.10009765625,18910.900390625,0.17572406,40761.900390625,43626.100341796875,55.0,0.43347675,0.4639357,0.0012607132,0.9625767,0.1825559,0.0001825559,0.1825559,0.1793784,0.2025504,0.18779469,0.18779469,0.2025504,0.1793784,1500.0,7.3132205,5.8401604,-0.7680093,1.0,0.0,0.0,3.5_8,1991,6.0,1996_3.5,11,9.0,43.0,12.0,1983.0,14.0
434,1996,10.0,3.5,Non-US,OEM,90.19999694824219,219.8000030517578,0.41037303,9564.30009841919,9580.400098741055,0.0,0.022942675,0.022981295,0.0,0.9625767,0.42632762,0.0004263276,0.7177521,0.6166958,0.42632762,1.2223221,0.6166958,0.7177521,1.2223221,4000.0,8.294049,,-3.7730746,1.0,1.0,0.0,3.5_10,1994,3.0,1996_3.5,11,11.0,43.0,12.0,1983.0,14.0
435,1996,9.0,3.5,Non-US,OEM,289.8999938964844,1196.300048828125,0.2423305,9564.30009841919,9580.400098741055,0.0,0.124869525,0.12507972,0.0,0.9625767,0.2517519,0.0002517519,0.3252066,0.2963357,0.2517519,0.30154255,0.2963357,0.3252066,0.30154255,2500.0,7.824046,,-2.078804,1.0,1.0,0.0,3.5_9,1993,4.0,1996_3.5,11,11.0,43.0,12.0,1983.0,14.0
436,1996,8.0,3.5,Non-US,PCM,456.3999938964844,2524.800048828125,0.18076679,4011.000066757202,4027.2000675201416,57.0,0.62693685,0.629469,0.014153754,0.9625767,0.18779469,0.00018779469,0.1825559,0.1793784,0.2025504,0.18779469,0.1825559,0.1793784,0.2025504,1500.0,7.3132205,3.790866,-0.4628787,1.0,1.0,1.0,3.5_8,1991,6.0,1996_3.5,11,9.0,43.0,12.0,1983.0,14.0
437,1996,6.0,3.5,US,OEM,5.800000190734863,45.0,0.12888889,40761.900390625,43626.100341796875,55.0,0.0010314926,0.0011039721,0.0012607132,0.9625767,0.13389987,0.00013389987,0.13389987,0.13159125,0.18339606,0.14544296,0.14544296,0.18339606,0.13159125,400.0,5.9914646,-0.20067072,-6.8088408,1.0,0.0,0.0,3.5_6,1989,8.0,1996_3.5,11,2.0,43.0,12.0,1983.0,14.0
438,1996,6.0,3.5,Non-US,OEM,16.700000762939453,94.5999984741211,0.17653278,9564.30009841919,9580.400098741055,0.0,0.009874326,0.009890948,0.0,0.9625767,0.18339606,0.00018339606,0.13389987,0.13159125,0.18339606,0.14544296,0.13159125,0.13389987,0.14544296,400.0,5.9914646,,-4.616135,1.0,1.0,0.0,3.5_6,1989,8.0,1996_3.5,11,2.0,43.0,12.0,1983.0,14.0
439,1996,9.0,3.5,US,OEM,2648.60009765625,8461.0,0.3130363,40761.900390625,43626.100341796875,55.0,0.19394353,0.20757128,0.0012607132,0.9625767,0.3252066,0.0003252066,0.3252066,0.2963357,0.2517519,0.30154255,0.30154255,0.2517519,0.2963357,2500.0,7.824046,5.0358896,-1.5722804,1.0,0.0,0.0,3.5_9,1993,4.0,1996_3.5,11,11.0,43.0,12.0,1983.0,14.0
440,1996,10.0,3.5,US,OEM,2139.0,3096.0,0.69089144,40761.900390625,43626.100341796875,55.0,0.07096669,0.07595328,0.0012607132,0.9625767,0.7177521,0.0007177521,0.7177521,0.6166958,0.42632762,1.2223221,1.2223221,0.42632762,0.6166958,4000.0,8.294049,4.030533,-2.5776367,1.0,0.0,0.0,3.5_10,1994,3.0,1996_3.5,11,11.0,43.0,12.0,1983.0,14.0
441,1996,8.0,5.25,US,PCM,143.8000030517578,958.0,0.15010439,1749.5,31090.300048828125,929.0,0.030813469,0.547585,0.029880702,0.9625767,0.15594019,0.00015594019,0.1558949,0.15594019,1.4972068,,1.4972068,0.1558949,,1500.0,7.3132205,0.030739017,-0.6022376,0.0,0.0,1.0,5.25_8,1989,8.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
442,1996,7.0,5.25,US,OEM,2.0,1.0,2.0,2864.199951171875,43626.100341796875,55.0,2.2922059e-05,0.00034913764,0.0012607132,0.9625767,2.0777566,0.0020777567,2.0777566,,2.0777566,,2.0777566,,,750.0,6.6200733,-4.0073333,-7.9600444,0.0,0.0,0.0,5.25_7,1987,10.0,1996_5.25,12,1.0,15.0,7.0,1979.0,18.0
443,1996,8.0,5.25,Non-US,OEM,4.900000095367432,3.4000000953674316,1.4411764,16.100000321865082,9580.400098741055,0.0,0.00035489124,0.21118012,0.0,0.9625767,1.4972068,0.0014972069,0.1558949,0.15594019,1.4972068,,0.15594019,0.1558949,,1500.0,7.3132205,,-1.5550438,0.0,1.0,0.0,5.25_8,1989,8.0,1996_5.25,12,3.0,15.0,7.0,1979.0,18.0
444,1996,9.0,5.25,US,OEM,208.3000030517578,1057.0,0.19706717,2864.199951171875,43626.100341796875,55.0,0.024228616,0.3690385,0.0012607132,0.9625767,0.2047288,0.0002047288,0.2047288,0.20473894,0.952305,,0.952305,0.20473894,,2500.0,7.824046,2.9558568,-0.9968543,0.0,0.0,0.0,5.25_9,1991,6.0,1996_5.25,12,2.0,15.0,7.0,1979.0,18.0
445,1996,9.0,5.25,Non-US,OEM,1.100000023841858,1.2000000476837158,0.9166666,16.100000321865082,9580.400098741055,0.0,0.00012525574,0.07453416,0.0,0.9625767,0.952305,0.00095230504,0.2047288,0.20473894,0.952305,,0.20473894,0.2047288,,2500.0,7.824046,,-2.5964978,0.0,1.0,0.0,5.25_9,1991,6.0,1996_5.25,12,2.0,15.0,7.0,1979.0,18.0
